AGEP,JWMNP,MARHYP,SCHL,WKHP,JWAP,JWDP,PINCP
93,15,1945,16,25,87,45,30300
89,5,1950,16,25,119,79,101300
83,5,1951,16,72,101,61,10004
83,5,1951,22,20,119,79,174000
84,30,1952,16,8,76,31,38500
84,75,1952,16,50,85,31,130000
80,10,1953,14,50,132,85,112000
85,10,1955,21,8,150,94,16800
78,30,1956,21,40,100,55,12200
81,30,1956,18,40,142,88,24800
80,2,1956,16,40,94,55,44200
81,10,1957,16,40,93,52,23400
77,15,1958,18,40,79,37,54200
76,20,1959,16,55,80,37,29200
78,10,1959,19,8,84,43,32200
78,5,1959,15,20,77,37,35300
73,65,1959,12,40,74,22,39800
81,15,1959,19,40,97,55,67800
74,45,1960,14,4,115,67,11370
77,5,1960,21,4,107,67,50900
75,10,1960,21,40,90,49,81800
75,15,1961,18,15,121,79,7400
71,13,1961,17,15,144,91,19150
73,3,1961,16,35,124,82,20400
80,5,1961,14,40,74,34,44300
74,2,1961,18,40,94,55,64000
71,10,1962,19,25,72,31,21000
75,15,1962,16,10,109,67,27000
74,5,1962,18,40,91,51,28400
78,10,1962,19,12,84,43,42400
77,5,1962,16,22,113,73,62900
72,30,1963,16,20,160,97,28400
78,5,1963,16,32,95,55,34600
78,20,1963,23,40,98,55,141100
68,15,1964,18,4,121,79,7000
82,20,1964,17,30,110,67,18200
70,10,1964,19,25,66,25,21000
71,10,1964,19,10,66,25,22000
74,20,1964,22,40,80,37,32200
68,15,1964,13,25,121,79,33600
73,5,1964,19,30,65,25,39900
72,10,1964,21,16,120,79,42800
72,20,1964,18,18,76,33,57900
78,5,1964,21,20,80,40,76400
79,10,1965,20,14,90,49,8400
70,1,1965,16,20,202,121,12900
74,15,1965,21,2,211,124,19100
72,5,1965,19,2,87,47,20800
76,15,1965,19,40,103,61,41300
71,10,1965,19,40,60,19,42300
67,5,1965,14,15,116,76,48300
74,30,1965,20,30,256,137,71500
72,60,1966,20,40,202,115,20000
72,15,1966,19,18,105,63,21200
72,20,1966,18,18,104,61,24400
70,10,1966,14,20,174,106,27900
67,10,1966,19,24,86,45,34400
82,5,1966,24,4,161,100,43700
73,5,1966,16,60,95,55,52500
70,45,1966,16,40,199,115,62000
73,45,1967,20,4,133,82,19800
70,20,1967,20,15,104,61,20030
70,30,1967,19,6,94,49,25400
79,10,1967,16,40,108,67,25600
73,15,1967,18,40,109,67,35000
69,20,1967,19,12,116,73,35710
78,17,1967,16,38,79,37,39800
73,45,1967,24,30,103,55,40000
71,5,1967,19,8,203,121,46230
69,1,1967,20,20,94,55,59100
75,20,1967,20,17,80,37,68000
71,15,1967,19,40,94,52,74000
68,25,1967,19,29,87,43,74400
68,3,1967,19,60,88,49,89800
68,10,1968,1,50,48,13,15000
64,10,1968,17,40,90,49,21000
67,15,1968,19,50,85,43,25000
69,1,1968,19,30,106,67,41600
65,5,1968,21,20,101,61,51000
75,2,1968,19,20,94,55,76700
67,10,1968,19,50,108,67,108500
70,3,1968,23,50,106,67,140600
69,1,1968,19,20,118,79,374200
66,10,1968,16,30,81,40,643000
70,7,1969,16,5,140,89,8990
66,30,1969,16,35,112,67,10900
69,20,1969,18,8,65,22,14200
68,5,1969,19,8,77,37,22300
70,30,1969,21,30,106,61,25100
75,10,1969,13,27,84,43,29500
68,20,1969,20,25,77,34,32100
71,5,1969,23,20,101,61,38850
72,20,1969,1,40,212,124,41400
71,5,1969,21,25,77,37,41600
66,151,1969,17,50,92,16,42000
69,2,1969,22,30,106,67,56800
70,12,1969,21,40,96,55,428100
62,15,1970,14,40,93,51,8500
66,30,1970,19,20,214,124,17200
64,30,1970,14,80,136,85,18000
70,3,1970,18,4,163,101,18900
64,15,1970,16,32,67,25,19000
66,20,1970,19,12,116,73,20200
70,50,1970,21,15,176,103,20940
67,30,1970,16,25,124,79,24000
71,2,1970,15,30,46,13,24100
69,15,1970,20,30,67,25,25900
65,7,1970,19,40,131,85,30000
67,5,1970,21,33,86,46,30150
76,17,1970,16,38,157,97,30400
64,20,1970,6,48,272,146,35000
64,30,1970,21,40,88,43,37400
73,5,1970,14,40,95,55,37700
65,30,1970,16,40,61,17,39200
70,20,1970,21,40,95,52,58800
70,25,1970,21,40,105,61,69200
73,10,1970,14,40,91,50,71900
70,2,1970,21,60,82,43,369000
63,25,1971,19,10,45,10,6300
61,45,1971,17,40,103,55,10000
67,15,1971,20,24,79,37,11000
69,30,1971,19,24,124,79,12800
67,7,1971,16,15,107,67,13400
63,7,1971,16,6,98,58,15200
71,5,1971,16,25,140,89,17000
65,2,1971,16,20,154,97,21300
63,5,1971,18,28,113,73,22000
67,15,1971,10,36,79,37,24900
62,20,1971,16,20,152,94,26700
64,8,1971,16,40,59,19,30000
67,10,1971,20,8,108,67,30000
70,30,1971,21,16,124,79,31900
75,30,1971,21,16,124,79,36570
78,5,1971,15,20,80,40,38000
64,25,1971,16,40,102,58,48000
68,5,1971,16,70,89,49,48100
70,30,1971,21,20,91,46,57800
65,15,1971,19,42,81,39,62000
64,20,1971,19,50,80,37,65100
65,30,1971,18,45,118,73,66300
68,70,1971,21,40,75,22,67000
66,10,1971,16,40,93,52,69000
64,40,1971,18,40,75,28,73000
64,5,1971,16,76,83,43,89800
68,10,1971,16,40,93,52,172200
65,15,1971,17,3,97,55,279400
64,25,1972,16,15,93,49,4800
65,6,1972,20,40,95,55,12000
64,11,1972,16,16,87,46,13800
